resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fastestLapTime_seconds
159,25,10,7,12,8,11,11,11,0.0,70,+57.700,45,13,1:17.836,204.013,1,77.836
160,25,20,5,15,12,12,12,12,0.0,70,+58.065,36,11,1:17.760,204.212,1,77.76
161,25,2,2,3,11,13,13,13,0.0,70,+1:02.079,46,9,1:17.716,204.328,1,77.716
162,25,22,11,17,20,14,14,14,0.0,69,\N,54,14,1:17.969,203.665,11,77.969
163,25,6,3,8,15,15,15,15,0.0,69,\N,60,15,1:18.054,203.443,11,78.054
164,25,3,3,7,19,16,16,16,0.0,69,\N,38,17,1:18.311,202.776,11,78.311
165,25,7,5,14,14,17,17,17,0.0,69,\N,28,16,1:18.216,203.022,11,78.216
166,25,21,10,21,17,18,18,18,0.0,69,\N,53,19,1:18.557,202.141,11,78.557
167,25,16,10,20,18,19,19,19,0.0,69,\N,41,18,1:18.462,202.385,11,78.462
169,26,1,1,22,4,1,1,1,10.0,60,1:39:09.440,16,3,1:32.817,199.398,1,92.817
170,26,2,2,3,5,2,2,2,8.0,60,+1:08.577,21,2,1:32.719,199.609,1,92.719
171,26,22,11,17,16,3,3,3,6.0,60,+1:22.273,21,11,1:33.386,198.183,1,93.386
172,26,8,6,1,3,4,4,4,5.0,59,\N,18,1,1:32.150,200.842,11,92.15
173,26,5,1,23,1,5,5,5,4.0,59,\N,17,5,1:33.130,198.728,11,93.13
174,26,4,4,5,6,6,6,6,3.0,59,\N,17,6,1:33.133,198.722,11,93.133
175,26,15,7,11,14,7,7,7,2.0,59,\N,22,13,1:33.808,197.292,11,93.808
176,26,6,3,8,15,8,8,8,1.0,59,\N,21,14,1:34.277,196.310,11,94.277
177,26,3,3,7,20,9,9,9,0.0,59,\N,21,16,1:34.797,195.234,11,94.797
178,26,17,9,10,2,10,10,10,0.0,59,\N,17,4,1:32.952,199.109,11,92.952
179,26,7,5,14,13,11,11,11,0.0,59,\N,21,9,1:33.367,198.224,11,93.367
180,26,10,7,12,12,12,12,12,0.0,59,\N,19,15,1:34.610,195.619,11,94.61
181,26,13,6,2,9,13,13,13,0.0,58,\N,19,8,1:33.257,198.458,12,93.257
189,27,1,1,22,1,1,1,1,10.0,67,1:31:20.874,17,2,1:16.039,216.552,1,76.039
190,27,12,4,6,17,2,2,2,8.0,67,+5.586,66,9,1:16.910,214.099,1,76.91
191,27,13,6,2,2,3,3,3,6.0,67,+9.339,19,5,1:16.502,215.241,1,76.502
192,27,2,2,3,12,4,4,4,5.0,67,+9.825,52,1,1:15.987,216.700,1,75.987
193,27,5,1,23,3,5,5,5,4.0,67,+12.411,63,4,1:16.495,215.261,1,76.495
194,27,8,6,1,6,6,6,6,3.0,67,+14.403,66,3,1:16.342,215.692,1,76.342
195,27,9,2,4,7,7,7,7,2.0,67,+22.682,17,6,1:16.610,214.937,1,76.61
196,27,20,5,15,9,8,8,8,1.0,67,+33.299,20,8,1:16.772,214.484,1,76.772
197,27,15,7,11,4,9,9,9,0.0,67,+37.158,17,12,1:17.023,213.785,1,77.023
